Ranking,Region,Education Index 2022,MapName
1,Iceland,0.96,Iceland
2,Germany,0.957,Germany
3,Norway,0.937,Norway
4,United Kingdom,0.936,U.K. of Great Britain and Northern Ireland
5,Denmark,0.933,Denmark
6,New Zealand,0.93,New Zealand
6,Finland,0.93,Finland
8,Switzerland,0.924,Switzerland
9,Sweden,0.923,Sweden
9,Australia,0.923,Australia
11,Netherlands,0.92,Netherlands
12,Belgium,0.917,Belgium
13,Slovenia,0.913,Slovenia
14,Palau,0.911,Palau
15,United States,0.909,United States of America
16,Canada,0.908,Canada
17,Lithuania,0.906,Lithuania
18,Latvia,0.904,Latvia
18,United Arab Emirates,0.904,United Arab Emirates
18,Hong Kong,0.904,Hong Kong
21,Estonia,0.892,Estonia
22,Ireland,0.89,Ireland
23,Georgia,0.887,Georgia
24,Czech Republic,0.883,Czech Republic
25,Marshall Islands,0.882,Marshall Islands
25,Poland,0.882,Poland
27,Greece,0.88,Greece
28,South Korea,0.878,Republic of Korea
29,Argentina,0.87,Argentina
30,Singapore,0.866,Singapore
30,Austria,0.866,Austria
32,Cyprus,0.863,Cyprus
32,Israel,0.863,Israel
34,Saint Kitts and Nevis,0.86,Saint Kitts and Nevis
35,Japan,0.854,Japan
36,Russia,0.849,Russian Federation
37,Malta,0.848,Malta
37,Spain,0.848,Spain
39,Liechtenstein,0.844,Liechtenstein
40,Croatia,0.843,Croatia
41,Slovakia,0.842,Slovakia
42,Montenegro,0.839,Montenegro
43,Chile,0.837,Chile
44,France,0.834,France
45,Luxembourg,0.828,Luxembourg
46,Hungary,0.826,Hungary
47,Kazakhstan,0.824,Kazakhstan
48,Italy,0.821,Italy
49,Bahrain,0.819,Bahrain
49,Saint Vincent and the Grenadines,0.819,Saint Vincent and the Grenadines
51,Tonga,0.816,Tonga
52,Moldova,0.807,"Moldova, Republic of"
53,Saudi Arabia,0.799,Saudi Arabia
54,Belarus,0.796,Belarus
55,Turkey,0.793,Turkey
56,Grenada,0.791,Grenada
57,Barbados,0.788,Barbados
58,Portugal,0.787,Portugal
58,Uruguay,0.787,Uruguay
60,Serbia,0.786,Serbia
61,South Africa,0.784,South Africa
62,Romania,0.783,Romania
63,Trinidad and Tobago,0.782,Trinidad and Tobago
64,Antigua and Barbuda,0.781,Antigua & Barbuda
65,Armenia,0.777,Armenia
66,Bulgaria,0.766,Bulgaria
67,Kyrgyzstan,0.761,Kyrgyzstan
68,Seychelles,0.759,Seychelles
69,Oman,0.758,Oman
70,Bahamas,0.754,Bahamas
71,Cuba,0.753,Cuba
72,Sri Lanka,0.751,Sri Lanka
73,Iran,0.748,Iran (Islamic Republic of)
74,Peru,0.744,Peru
75,Bolivia,0.743,Bolivia
76,Andorra,0.742,Andorra
77,Costa Rica,0.741,Costa Rica
78,Albania,0.739,Albania
78,Mauritius,0.739,Mauritius
78,Ukraine,0.739,Ukraine
81,Turkmenistan,0.737,Turkmenistan
82,Fiji,0.73,Fiji
82,Uzbekistan,0.73,Uzbekistan
84,Thailand,0.727,Thailand
85,Samoa,0.724,Samoa
86,Panama,0.723,Panama
87,Bosnia and Herzegovina,0.719,Bosnia & Herzegovina
88,Mongolia,0.716,Mongolia
89,Malaysia,0.715,Malaysia
90,Ecuador,0.714,Ecuador
91,Brazil,0.71,Brazil
92,Mexico,0.709,Mexico
93,Azerbaijan,0.706,Azerbaijan
93,Qatar,0.706,Qatar
95,North Macedonia,0.701,The former Yugoslav Republic of Macedonia
