School,Locality,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Median VCE study score,Percentage of study scores of 40 and over,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name
Academy of Mary Immaculate,FITZROY,20,93.2,100,32,11.3,45704,40739,739,45704,Academy of Mary Immaculate,FITZROY,VIC,3065,Catholic,Secondary,0,School Single Entity,-37.803711,144.974409,0,Major Cities,20639260000,20607114213,206071142,Fitzroy,20607,Yarra,206,Melbourne - Inner,27350,Yarra,27103,Richmond (Northern Metropolitan),233,Melbourne
Aitken College,GREENVALE,97,91.2,99,28,4.6,46353,56324,16324,46353,Aitken College,GREENVALE,VIC,3059,Independent,Combined,0,School Single Entity,-37.627398,144.888422,0,Major Cities,20631913790,21005124637,210051246,Greenvale - Bulla,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,23270,Hume,23503,Greenvale (Northern Metropolitan),205,Calwell
Al Iman College,MELTON SOUTH,-,71.4,100,26,0.8,52380,70322,30322,52380,Al Iman College,MELTON SOUTH,VIC,3338,Independent,Combined,0,School Single Entity,-37.706956,144.564872,0,Major Cities,20631941790,21304157811,213041578,Melton South - Weir Views,21304,Melton - Bacchus Marsh,213,Melbourne - West,24650,Melton,24808,Melton (Western Victoria),219,Hawke
Al Siraat College,EPPING,118,97.9,98,31,6.8,46390,68556,28556,46390,Al Siraat College,EPPING,VIC,3076,Independent,Combined,0,School Single Entity,-37.62426056,145.0375337,0,Major Cities,20631915720,20904143114,209041431,Epping - East,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,25002,Mill Park (North-Eastern Metropolitan),237,Scullin
Al-Taqwa College,TRUGANINA,30,94.9,100,34,9.7,46309,45556,5556,46309,Al-Taqwa College,HOPPERS CROSSING,VIC,3029,Independent,Combined,0,School Head Campus,-37.85265,144.722023,0,Major Cities,20628100000,21305158810,213051588,Truganina - South West,21305,Wyndham,213,Melbourne - West,27260,Wyndham,24307,Laverton (Western Metropolitan),228,Lalor
Albert Park College,ALBERT PARK,49,84.4,99,31,9,50267,69044,29044,50267,Albert Park College,ALBERT PARK,VIC,3206,Government,Secondary,0,School Head Campus,-37.84436706,144.9474157,0,Major Cities,20532020000,20605112809,206051128,Albert Park,20605,Port Phillip,206,Melbourne - Inner,25900,Port Phillip,20106,Albert Park (Southern Metropolitan),229,Macnamara
Alexandra Secondary College,ALEXANDRA,54,51.4,91,24,2.6,45349,51684,11684,45349,Alexandra Secondary College,ALEXANDRA,VIC,3714,Government,Secondary,0,School Single Entity,-37.19449,145.701477,1,Inner Regional,20509200000,20401105411,204011054,Alexandra,20401,Upper Goulburn Valley,204,Hume,25620,Murrindindi,22304,Eildon (Northern Victoria),223,Indi
Alia College,HAWTHORN EAST,< 4,37.5,81,24,2.1,46354,56610,16610,46354,Alia College,HAWTHORN EAST,VIC,3123,Independent,Secondary,0,School Single Entity,-37.843225,145.045173,0,Major Cities,20071601000,20701115203,207011152,Hawthorn East,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,23706,Hawthorn (Southern Metropolitan),226,Kooyong
Alice Miller School,MACEDON,29,76.7,100,32,12.2,52381,70324,30324,52381,Alice Miller School,MACEDON,VIC,3440,Independent,Combined,0,School Head Campus,-37.44664,144.531585,1,Inner Regional,20356350000,21002123306,210021233,Macedon,21002,Macedon Ranges,210,Melbourne - North West,24130,Macedon Ranges,24504,Macedon (Northern Victoria),232,McEwen
Alkira Secondary College,CRANBOURNE NORTH,176,66.5,96,29,2.8,45604,68854,28854,45604,Alkira Secondary College,CRANBOURNE NORTH,VIC,3977,Government,Secondary,0,School Single Entity,-38.073313,145.310519,0,Major Cities,20631994660,21203155905,212031559,Cranbourne North - East,21203,Casey - South,212,Melbourne - South East,21610,Casey,25905,Narre Warren South (South-Eastern Metropolitan),221,Holt
