School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over
Academy of Mary Immaculate,Academy of Mary Immaculate,FITZROY,VIC,-37.803711,144.974409,1075.0,77.0,632.0,0.0,38.0,32,11.3
Adass Israel School,Adass Israel School,ELSTERNWICK,VIC,-37.883899,145.008205,935.0,19.0,387.0,0.0,66.0,-,-
Aitken College,Aitken College,GREENVALE,VIC,-37.627398,144.888422,1100.0,84.0,1442.0,0.0,58.0,28,4.6
Al Iman College,Al Iman College,MELTON SOUTH,VIC,-37.706956,144.564872,1055.0,70.0,1087.0,0.0,98.0,26,0.8
Al Siraat College,Al Siraat College,EPPING,VIC,-37.62426056,145.03753369,1054.0,70.0,1419.0,0.0,96.0,31,6.8
Al-Taqwa College,Al-Taqwa College,HOPPERS CROSSING,VIC,-37.85265,144.722023,1061.0,72.0,2352.0,0.0,98.0,34,9.7
Albert Park College,Albert Park College,ALBERT PARK,VIC,-37.84436706,144.94741572,1125.0,90.0,1641.0,0.0,35.0,31,9
Alexandra Secondary College,Alexandra Secondary College,ALEXANDRA,VIC,-37.19449,145.701477,966.0,31.0,324.0,5.0,5.0,24,2.6
Alia College,Alia College,HAWTHORN EAST,VIC,-37.843225,145.045173,1121.0,90.0,98.0,0.0,9.0,24,2.1
Alice Miller School,Alice Miller School,MACEDON,VIC,-37.44664,144.531585,1134.0,92.0,388.0,2.0,5.0,32,12.2
Alkira Secondary College,Alkira Secondary College,CRANBOURNE NORTH,VIC,-38.073313,145.310519,987.0,41.0,1906.0,1.0,62.0,29,2.8
Alphington Grammar School,Alphington Grammar School,ALPHINGTON,VIC,-37.780429,145.036174,1156.0,96.0,610.0,0.0,53.0,30,12.4
Altona College,Altona College,ALTONA,VIC,-37.86152274,144.8172644,1036.0,63.0,687.0,2.0,27.0,26,3.9
Antonine College,Antonine College,PASCOE VALE SOUTH,VIC,-37.741099,144.942754,981.0,38.0,894.0,0.0,99.0,26,3.3
Apollo Bay P-12 College,Apollo Bay P-12 College,APOLLO BAY,VIC,-38.753524,143.660507,1036.0,63.0,320.0,4.0,12.0,30,10.7
Aquinas College,Aquinas College,RINGWOOD,VIC,-37.82303115,145.23518332,1082.0,79.0,1671.0,1.0,5.0,29,5.1
Aquinas College,Aquinas College,RINGWOOD,VIC,-37.82303115,145.23518332,1059.0,72.0,809.0,2.0,8.0,29,5.1
Aquinas College,Aquinas College,RINGWOOD,VIC,-37.82303115,145.23518332,1108.0,86.0,1314.0,4.0,18.0,29,5.1
Aquinas College,Aquinas College,ASHMORE,QLD,-27.975092,153.383562,1082.0,79.0,1671.0,1.0,5.0,29,5.1
Aquinas College,Aquinas College,ASHMORE,QLD,-27.975092,153.383562,1059.0,72.0,809.0,2.0,8.0,29,5.1
Aquinas College,Aquinas College,ASHMORE,QLD,-27.975092,153.383562,1108.0,86.0,1314.0,4.0,18.0,29,5.1
Aquinas College,Aquinas College,SALTER POINT,WA,-32.024,115.865,1082.0,79.0,1671.0,1.0,5.0,29,5.1
Aquinas College,Aquinas College,SALTER POINT,WA,-32.024,115.865,1059.0,72.0,809.0,2.0,8.0,29,5.1
Aquinas College,Aquinas College,SALTER POINT,WA,-32.024,115.865,1108.0,86.0,1314.0,4.0,18.0,29,5.1
