School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over,Statistical Area 2,Statistical Area 2 Name
Academy of Mary Immaculate,Academy of Mary Immaculate,FITZROY,VIC,-37.803711,144.974409,1075.0,77.0,632.0,0.0,38.0,32,11.3,206071142.0,Fitzroy
Adass Israel School,Adass Israel School,ELSTERNWICK,VIC,-37.883899,145.008205,935.0,19.0,387.0,0.0,66.0,-,-,208021179.0,Elsternwick
Aitken College,Aitken College,GREENVALE,VIC,-37.627398,144.888422,1100.0,84.0,1442.0,0.0,58.0,28,4.6,210051246.0,Greenvale - Bulla
Al Iman College,Al Iman College,MELTON SOUTH,VIC,-37.706956,144.564872,1055.0,70.0,1087.0,0.0,98.0,26,0.8,213041578.0,Melton South - Weir Views
Al Siraat College,Al Siraat College,EPPING,VIC,-37.62426056,145.03753369,1054.0,70.0,1419.0,0.0,96.0,31,6.8,209041431.0,Epping - East
Al-Taqwa College,Al-Taqwa College,HOPPERS CROSSING,VIC,-37.85265,144.722023,1061.0,72.0,2352.0,0.0,98.0,34,9.7,213051588.0,Truganina - South West
Albert Park College,Albert Park College,ALBERT PARK,VIC,-37.84436706,144.94741572,1125.0,90.0,1641.0,0.0,35.0,31,9,206051128.0,Albert Park
Alexandra Secondary College,Alexandra Secondary College,ALEXANDRA,VIC,-37.19449,145.701477,966.0,31.0,324.0,5.0,5.0,24,2.6,204011054.0,Alexandra
Alia College,Alia College,HAWTHORN EAST,VIC,-37.843225,145.045173,1121.0,90.0,98.0,0.0,9.0,24,2.1,207011152.0,Hawthorn East
Alice Miller School,Alice Miller School,MACEDON,VIC,-37.44664,144.531585,1134.0,92.0,388.0,2.0,5.0,32,12.2,210021233.0,Macedon
Alkira Secondary College,Alkira Secondary College,CRANBOURNE NORTH,VIC,-38.073313,145.310519,987.0,41.0,1906.0,1.0,62.0,29,2.8,212031559.0,Cranbourne North - East
Alphington Grammar School,Alphington Grammar School,ALPHINGTON,VIC,-37.780429,145.036174,1156.0,96.0,610.0,0.0,53.0,30,12.4,206071145.0,Clifton Hill - Alphington
Altona College,Altona College,ALTONA,VIC,-37.86152274,144.8172644,1036.0,63.0,687.0,2.0,27.0,26,3.9,213021341.0,Altona
Antonine College,Antonine College,PASCOE VALE SOUTH,VIC,-37.741099,144.942754,981.0,38.0,894.0,0.0,99.0,26,3.3,206011109.0,Pascoe Vale South
Apollo Bay P-12 College,Apollo Bay P-12 College,APOLLO BAY,VIC,-38.753524,143.660507,1036.0,63.0,320.0,4.0,12.0,30,10.7,217031476.0,Otway
Aquinas College,Aquinas College,RINGWOOD,VIC,-37.82303115,145.23518332,1082.0,79.0,1671.0,1.0,5.0,29,5.1,211031266.0,Ringwood
Aquinas College,Aquinas College,RINGWOOD,VIC,-37.82303115,145.23518332,1059.0,72.0,809.0,2.0,8.0,29,5.1,211031266.0,Ringwood
Aquinas College,Aquinas College,RINGWOOD,VIC,-37.82303115,145.23518332,1108.0,86.0,1314.0,4.0,18.0,29,5.1,211031266.0,Ringwood
Aquinas College,Aquinas College,ASHMORE,QLD,-27.975092,153.383562,1082.0,79.0,1671.0,1.0,5.0,29,5.1,211031266.0,Ringwood
Aquinas College,Aquinas College,ASHMORE,QLD,-27.975092,153.383562,1059.0,72.0,809.0,2.0,8.0,29,5.1,211031266.0,Ringwood
Aquinas College,Aquinas College,ASHMORE,QLD,-27.975092,153.383562,1108.0,86.0,1314.0,4.0,18.0,29,5.1,211031266.0,Ringwood
Aquinas College,Aquinas College,SALTER POINT,WA,-32.024,115.865,1082.0,79.0,1671.0,1.0,5.0,29,5.1,211031266.0,Ringwood
Aquinas College,Aquinas College,SALTER POINT,WA,-32.024,115.865,1059.0,72.0,809.0,2.0,8.0,29,5.1,211031266.0,Ringwood
Aquinas College,Aquinas College,SALTER POINT,WA,-32.024,115.865,1108.0,86.0,1314.0,4.0,18.0,29,5.1,211031266.0,Ringwood
Ararat Secondary College,Ararat Secondary College,ARARAT,VIC,-37.28599961,142.92196149,939.0,21.0,335.0,8.0,3.0,26,1.2,215011386.0,Ararat
Armstrong Creek School,Armstrong Creek School,ARMSTRONG CREEK,VIC,-38.231392,144.36414,1017.0,54.0,834.0,4.0,26.0,-,-,203031489.0,Barwon Heads - Armstrong Creek
Ashwood High School,Ashwood High School,ASHWOOD,VIC,-37.86409815,145.10340983,1092.0,82.0,913.0,1.0,44.0,31,8.1,212051319.0,Ashwood - Chadstone
Assumption College,Assumption College,KILMORE,VIC,-37.301013,144.947629,1051.0,69.0,1461.0,1.0,4.0,28,2.2,204011056.0,Kilmore - Broadford
Assumption College,Assumption College,KILMORE,VIC,-37.301013,144.947629,1001.0,47.0,469.0,12.0,4.0,28,2.2,204011056.0,Kilmore - Broadford
Assumption College,Assumption College,WARWICK,QLD,-28.225287,152.027794,1051.0,69.0,1461.0,1.0,4.0,28,2.2,204011056.0,Kilmore - Broadford
Assumption College,Assumption College,WARWICK,QLD,-28.225287,152.027794,1001.0,47.0,469.0,12.0,4.0,28,2.2,204011056.0,Kilmore - Broadford
Auburn High School,Auburn High School,HAWTHORN EAST,VIC,-37.839849,145.044628,1146.0,95.0,820.0,0.0,54.0,31,8.6,207011152.0,Hawthorn East
Ave Maria College,Ave Maria College,ABERFELDIE,VIC,-37.756618,144.897964,1076.0,77.0,807.0,0.0,6.0,31,10.5,206031501.0,Essendon (West) - Aberfeldie
Avila College,Avila College,MOUNT WAVERLEY,VIC,-37.874671,145.133255,1107.0,86.0,1046.0,0.0,13.0,32,11.5,212051323.0,Mount Waverley - North
Bacchus Marsh College,Bacchus Marsh College,BACCHUS MARSH,VIC,-37.68562875,144.43305835,970.0,33.0,998.0,6.0,11.0,24,0.3,213041353.0,Bacchus Marsh
Baimbridge College,Baimbridge College,HAMILTON,VIC,-37.733311,142.014634,940.0,21.0,332.0,11.0,2.0,26,0,217011421.0,Hamilton (Vic.)
Bairnsdale Secondary College,Bairnsdale Secondary College,BAIRNSDALE,VIC,-37.83202616,147.62203757,949.0,24.0,1158.0,11.0,4.0,26,1.1,205021081.0,Bairnsdale
Balcombe Grammar School,Balcombe Grammar School,MOUNT MARTHA,VIC,-38.2738,145.033,1101.0,84.0,972.0,1.0,6.0,30,5.2,214021382.0,Mount Martha
Ballarat Christian College,Ballarat Christian College,SEBASTOPOL,VIC,-37.59333224,143.84324898,1060.0,72.0,360.0,1.0,31.0,25,0,201011484.0,Sebastopol - Redan
Ballarat Clarendon College,Ballarat Clarendon College,BALLARAT,VIC,-37.55964761,143.8336504,1171.0,98.0,1876.0,0.0,43.0,37,34.7,201011002.0,Ballarat
Ballarat Grammar,Ballarat Grammar,WENDOUREE,VIC,-37.539237,143.83083,1125.0,91.0,1930.0,1.0,10.0,32,11.7,201011008.0,Wendouree - Miners Rest
Ballarat High School,Ballarat High School,LAKE GARDENS,VIC,-37.554234,143.817713,1019.0,55.0,1419.0,3.0,11.0,29,2.2,201011002.0,Ballarat
Balwyn High School,Balwyn High School,BALWYN NORTH,VIC,-37.79785922,145.07677235,1143.0,94.0,2229.0,0.0,78.0,32,14.7,207011148.0,Balwyn North
Bannockburn P-12 College,Bannockburn P-12 College,BANNOCKBURN,VIC,-38.047092,144.16951,985.0,40.0,847.0,3.0,4.0,23,1.5,203011034.0,Bannockburn
Bass Coast College,Bass Coast College,WONTHAGGI,VIC,-38.609807,145.597177,991.0,42.0,1617.0,3.0,5.0,28,3.6,205031093.0,Wonthaggi - Inverloch
