School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Number of Higher Education studies (HES) with enrolments,Enrolment(s) in VCE Vocational Major (VM) unit(s)​,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in the International Baccalaureate (IB) Diploma,Enrolment(s) in Northern Hemisphere Timetable (NHT) delivery at Units 3 and 4 level ​,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Number of students enrolled in an School-based Apprenticeship or Traineeship (SBAT),Number of students enrolled in a Higher Education study (HES),Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over,Number of students awarded the Victorian Pathways Certificate (VPC),SchoolName_clean,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name,Calendar Year,ACARA SML ID_profile,Location AGE ID_profile,School AGE ID_profile,School Name_profile,Suburb_profile,State_profile,Postcode_profile,School Sector_profile,School Type_profile,Campus Type_profile,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%)
Academy of Mary Immaculate,,FITZROY,34,8,2,,,,,147,20,-,< 4,93.2,100,-,10,100,I/D,32,11.3,-,ACADEMY OF MARY IMMACULATE,45704,40739.0,739.0,45704,Academy of Mary Immaculate,FITZROY,VIC,3065,Catholic,Secondary,0,School Single Entity,-37.803711,144.974409,0,Major Cities,20639260000,20607114213,206071142,Fitzroy,20607,Yarra,206,Melbourne - Inner,27350,Yarra,27103,Richmond (Northern Metropolitan),233,Melbourne,2024,45704,40739.0,739.0,Academy of Mary Immaculate,Fitzroy,VIC,3065,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.academy.vic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1075.0,77.0,13.0,20.0,35.0,31.0,68.0,55.2,27.0,21.7,632.0,632.0,0.0,632.0,0.0,38.0,62.0,0.0
Adass Israel School,,ELSTERNWICK,8,3,-,Y,,,,36,49,-,-,-,80,12,-,73,-,-,-,-,ADASS ISRAEL SCHOOL,46213,40740.0,740.0,46213,Adass Israel School,ELSTERNWICK,VIC,3185,Independent,Combined,0,School Head Campus,-37.883899,145.008205,0,Major Cities,20631983460,20802117930,208021179,Elsternwick,20802,Glen Eira,208,Melbourne - Inner South,22310,Glen Eira,21806,Caulfield (Southern Metropolitan),229,Macnamara,2024,46213,40740.0,740.0,Adass Israel School,Elsternwick,VIC,3185,Independent,Combined,School Head Campus,Rolled Reporting,http://www.vrqa.vic.gov.au/StateRegister/Provider.aspx/DetailsProvider?AccountID=ac88c00c-ed32-de11-9c94-002185cd8e5c,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,935.0,19.0,71.0,18.0,8.0,3.0,43.0,25.4,76.0,29.9,387.0,227.0,160.0,385.9,0.0,66.0,34.0,0.0
Adass Israel School,*,EAST ST KILDA,2,2,-,,Y,,,19,39,-,-,-,-,-,-,39,-,-,-,-,ADASS ISRAEL SCHOOL,46213,40740.0,740.0,46213,Adass Israel School,ELSTERNWICK,VIC,3185,Independent,Combined,0,School Head Campus,-37.883899,145.008205,0,Major Cities,20631983460,20802117930,208021179,Elsternwick,20802,Glen Eira,208,Melbourne - Inner South,22310,Glen Eira,21806,Caulfield (Southern Metropolitan),229,Macnamara,2024,46213,40740.0,740.0,Adass Israel School,Elsternwick,VIC,3185,Independent,Combined,School Head Campus,Rolled Reporting,http://www.vrqa.vic.gov.au/StateRegister/Provider.aspx/DetailsProvider?AccountID=ac88c00c-ed32-de11-9c94-002185cd8e5c,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,935.0,19.0,71.0,18.0,8.0,3.0,43.0,25.4,76.0,29.9,387.0,227.0,160.0,385.9,0.0,66.0,34.0,0.0
Aitken College,,GREENVALE,41,14,-,Y,,,,160,97,-,-,91.2,99,8,< 4,99,-,28,4.6,-,AITKEN COLLEGE,46353,56324.0,16324.0,46353,Aitken College,GREENVALE,VIC,3059,Independent,Combined,0,School Single Entity,-37.627398,144.888422,0,Major Cities,20631913790,21005124637,210051246,Greenvale - Bulla,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,23270,Hume,23503,Greenvale (Northern Metropolitan),205,Calwell,2024,46353,56324.0,16324.0,Aitken College,Greenvale,VIC,3059,Independent,Combined,School Single Entity,Individual Reporting,http://www.aitkencollege.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1100.0,84.0,6.0,21.0,35.0,37.0,130.0,113.5,52.0,44.9,1442.0,740.0,702.0,1442.0,0.0,58.0,42.0,0.0
Al Iman College,,MELTON SOUTH,17,-,-,,,,,32,-,-,-,71.4,100,-,-,-,-,26,0.8,-,AL IMAN COLLEGE,52380,70322.0,30322.0,52380,Al Iman College,MELTON SOUTH,VIC,3338,Independent,Combined,0,School Single Entity,-37.706956,144.564872,0,Major Cities,20631941790,21304157811,213041578,Melton South - Weir Views,21304,Melton - Bacchus Marsh,213,Melbourne - West,24650,Melton,24808,Melton (Western Victoria),219,Hawke,2024,52380,70322.0,30322.0,Al Iman College,Melton South,VIC,3338,Independent,Combined,School Single Entity,Individual Reporting,https://aliman.vic.edu.au/,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1055.0,70.0,20.0,19.0,33.0,28.0,64.0,61.8,80.0,69.9,1087.0,598.0,489.0,1087.0,0.0,98.0,2.0,0.0
Al Siraat College,,EPPING,20,7,2,,,,,106,118,-,< 4,97.9,98,-,-,99,I/D,31,6.8,-,AL SIRAAT COLLEGE,46390,68556.0,28556.0,46390,Al Siraat College,EPPING,VIC,3076,Independent,Combined,0,School Single Entity,-37.62426056,145.03753369,0,Major Cities,20631915720,20904143114,209041431,Epping - East,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,25002,Mill Park (North-Eastern Metropolitan),237,Scullin,2024,46390,68556.0,28556.0,Al Siraat College,Epping,VIC,3076,Independent,Combined,School Single Entity,Individual Reporting,http://www.alsiraat.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1054.0,70.0,18.0,22.0,38.0,22.0,118.0,106.5,94.0,80.6,1419.0,738.0,681.0,1419.0,0.0,96.0,4.0,0.0
Al-Taqwa College,,TRUGANINA,32,12,-,Y,,,,95,30,-,-,94.9,100,10,-,76,-,34,9.7,-,AL-TAQWA COLLEGE,46309,45556.0,5556.0,46309,Al-Taqwa College,HOPPERS CROSSING,VIC,3029,Independent,Combined,0,School Head Campus,-37.85265,144.722023,0,Major Cities,20628100000,21305158810,213051588,Truganina - South West,21305,Wyndham,213,Melbourne - West,27260,Wyndham,24307,Laverton (Western Metropolitan),228,Lalor,2024,46309,45556.0,5556.0,Al-Taqwa College,Hoppers Crossing,VIC,3029,Independent,Combined,School Head Campus,Rolled Reporting,http://www.al-taqwa.vic.edu.au/,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1061.0,72.0,15.0,26.0,34.0,24.0,229.0,203.8,142.0,128.9,2352.0,1305.0,1047.0,2351.6,0.0,98.0,2.0,0.0
Albert Park College,,ALBERT PARK,61,17,-,Y,Y,Y,,423,49,< 4,-,84.4,99,7,10,75,-,31,9,-,ALBERT PARK COLLEGE,50267,69044.0,29044.0,50267,Albert Park College,ALBERT PARK,VIC,3206,Government,Secondary,0,School Head Campus,-37.84436706,144.94741572,0,Major Cities,20532020000,20605112809,206051128,Albert Park,20605,Port Phillip,206,Melbourne - Inner,25900,Port Phillip,20106,Albert Park (Southern Metropolitan),229,Macnamara,2024,50267,69044.0,29044.0,Albert Park College,Albert Park,VIC,3206,Government,Secondary,School Head Campus,Rolled Reporting,http://www.albertparkcollege.vic.edu.au/,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,1125.0,90.0,6.0,13.0,29.0,52.0,136.0,127.0,116.0,58.5,1641.0,786.0,855.0,1638.2,0.0,35.0,64.0,1.0
Alexandra Secondary College,,ALEXANDRA,19,6,-,Y,,,,87,54,-,-,51.4,91,5,-,51,-,24,2.6,-,ALEXANDRA SECONDARY COLLEGE,45349,51684.0,11684.0,45349,Alexandra Secondary College,ALEXANDRA,VIC,3714,Government,Secondary,0,School Single Entity,-37.19449,145.701477,1,Inner Regional,20509200000,20401105411,204011054,Alexandra,20401,Upper Goulburn Valley,204,Hume,25620,Murrindindi,22304,Eildon (Northern Victoria),223,Indi,2024,45349,51684.0,11684.0,Alexandra Secondary College,Alexandra,VIC,3714,Government,Secondary,School Single Entity,Individual Reporting,http://www.asc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Inner Regional,966.0,31.0,47.0,32.0,16.0,6.0,35.0,31.0,24.0,16.1,324.0,155.0,169.0,322.9,5.0,5.0,90.0,5.0
Alia College,,HAWTHORN EAST,22,2,-,,,,,22,< 4,-,-,37.5,81,-,-,I/D,-,24,2.1,-,ALIA COLLEGE,46354,56610.0,16610.0,46354,Alia College,HAWTHORN EAST,VIC,3123,Independent,Secondary,0,School Single Entity,-37.843225,145.045173,0,Major Cities,20071601000,20701115203,207011152,Hawthorn East,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,23706,Hawthorn (Southern Metropolitan),226,Kooyong,2024,46354,56610.0,16610.0,Alia College,Hawthorn East,VIC,3123,Independent,Secondary,School Single Entity,Individual Reporting,http://www.alia.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,7-12,Major Cities,1121.0,90.0,6.0,13.0,29.0,53.0,22.0,14.4,12.0,6.9,98.0,58.0,40.0,98.0,0.0,9.0,89.0,1.0
