SA2_MAIN16,sa2_name,icsea_mean,school_count
201011002,Ballarat,1079.0,4
201011008,Wendouree - Miners Rest,1033.0,2
201011481,Ballarat East - Warrenheip,986.0,1
201011483,Canadian - Mount Clear,1026.0,2
201011484,Sebastopol - Redan,1060.0,1
201021011,Daylesford,1007.0,1
201031014,Beaufort,967.0,1
201031016,Maryborough (Vic.),924.0,1
202011018,Bendigo,1102.0,2
202011019,California Gully - Eaglehawk,915.0,1
202011020,East Bendigo - Kennington,1075.0,1
202011023,Maiden Gully,1037.0,1
202021027,Castlemaine,1050.0,1
202031033,Loddon,966.5,4
203011034,Bannockburn,985.0,1
203021037,Belmont,1044.0,1
203021039,Geelong,1028.5,2
203021040,Geelong West - Hamlyn Heights,1049.0,1
203021043,Lara,970.0,1
203021045,Newcomb - Moolap,947.0,1
203021046,Newtown (Vic.),1150.0,1
203021047,North Geelong - Bell Park,1067.0,1
203021485,Charlemont,1077.0,1
203021486,Corio - Lovely Banks,953.5,2
203021487,Grovedale - Mount Duneed,993.0,1
203031048,Clifton Springs,1004.0,1
203031049,Lorne - Anglesea,1038.0,1
203031489,Barwon Heads - Armstrong Creek,1022.0,2
204011054,Alexandra,966.0,1
204011055,Euroa,964.0,1
204011056,Kilmore - Broadford,1009.0,2
204011057,Mansfield (Vic.),1006.0,1
204011059,Seymour,973.5,2
204011062,Yea,966.0,1
204021063,Benalla,939.0,1
204021065,Rutherglen,965.0,1
204021066,Wangaratta,953.0,1
204031068,Beechworth,1047.0,1
204031069,Bright - Mount Beauty,1054.0,1
204031071,Myrtleford,982.0,1
204031072,Towong,974.0,2
204031073,West Wodonga,1065.0,2
204031491,Baranduda - Leneva,1029.0,1
204031492,Wodonga,925.0,1
205011076,Drouin,1012.5,2
205011078,Trafalgar (Vic.),994.0,1
205011079,Warragul,975.0,1
205021081,Bairnsdale,982.0,2
205021082,Bruthen - Omeo,947.0,1
205021085,Orbost,952.0,2
205031087,Foster,1008.0,1
205031090,Leongatha,990.0,1
205031091,Phillip Island,1079.0,1
205031093,Wonthaggi - Inverloch,1008.5,2
205041095,Moe - Newborough,950.0,1
205041096,Morwell,911.0,1
205041494,Traralgon - West,984.5,2
205051101,Maffra,950.0,1
205051103,Sale,1015.0,3
205051104,Yarram,949.0,1
206011109,Pascoe Vale South,981.0,1
206011496,Brunswick - South,1081.0,2
206011497,Coburg - East,1099.0,1
206021112,Thornbury,1061.0,2
206021499,Northcote - East,1111.0,1
206021500,Northcote - West,1151.0,1
206031501,Essendon (West) - Aberfeldie,1078.0,2
206031502,Essendon - East,1107.0,1
206041124,Parkville,1121.0,1
206041125,South Yarra - West,1177.5,2
206041503,Melbourne CBD - East,1053.0,1
206041506,North Melbourne,960.0,2
206041510,West Melbourne - Residential,1045.0,1
206051128,Albert Park,1125.0,1
206051129,Elwood,1109.0,2
