SA2_MAIN16,sa2_name,icsea_mean,school_count
201011001,Alfredton,1044.25,4
201011002,Ballarat,1057.3333333333333,9
201011005,Buninyong,1022.0,3
201011006,Delacombe,994.5,2
201011007,Smythes Creek,1022.0,1
201011008,Wendouree - Miners Rest,964.5714285714286,7
201021009,Bacchus Marsh Region,997.0,4
201021010,Creswick - Clunes,997.6666666666666,6
201021011,Daylesford,1039.0,8
201021012,Gordon (Vic.),1017.5,6
201031013,Avoca,951.2,5
201031014,Beaufort,995.3333333333334,3
201031015,Golden Plains - North,988.5,4
201031016,Maryborough (Vic.),985.6666666666666,3
201031017,Maryborough Region,934.5,4
202011018,Bendigo,1006.4545454545455,11
202011019,California Gully - Eaglehawk,937.2,5
202011020,East Bendigo - Kennington,1046.0,3
202011021,Flora Hill - Spring Gully,1047.0,4
202011022,Kangaroo Flat - Golden Square,958.5714285714286,7
202011023,Maiden Gully,1025.0,2
202011024,Strathfieldsaye,1070.5,2
202011025,White Hills - Ascot,982.4,5
202021026,Bendigo Region - South,999.25,4
202021027,Castlemaine,1058.875,8
202021028,Castlemaine Region,1029.4285714285713,7
202021029,Heathcote,994.0,3
202021030,Kyneton,1059.6666666666667,6
202021031,Woodend,1105.6666666666667,3
202031032,Bendigo Region - North,984.25,4
202031033,Loddon,965.5555555555555,9
203011034,Bannockburn,1016.5,2
203011035,Golden Plains - South,1007.0,6
203011036,Winchelsea,1048.25,4
203021037,Belmont,1052.5714285714287,7
203021039,Geelong,1035.4285714285713,7
203021040,Geelong West - Hamlyn Heights,1037.111111111111,9
203021042,Highton,1098.8333333333333,6
203021043,Lara,1002.4,5
203021044,Leopold,1019.0,1
203021045,Newcomb - Moolap,970.1666666666666,6
203021046,Newtown (Vic.),1112.857142857143,7
203021047,North Geelong - Bell Park,1012.4285714285714,7
203031048,Clifton Springs,1030.6,5
203031049,Lorne - Anglesea,1079.6666666666667,3
203031051,Portarlington,990.0,2
203031052,Point Lonsdale - Queenscliff,1103.0,3
203031053,Torquay,1098.6666666666667,6
204011054,Alexandra,976.6666666666666,6
204011055,Euroa,981.4,5
204011056,Kilmore - Broadford,999.5,6
204011057,Mansfield (Vic.),1007.2857142857143,7
204011058,Nagambie,1006.3333333333334,3
204011059,Seymour,973.5,2
204011060,Seymour Region,998.3333333333334,3
204011062,Yea,972.25,4
204021063,Benalla,1009.6,5
204021064,Benalla Region,972.0,1
204021065,Rutherglen,988.75,4
204021066,Wangaratta,990.6666666666666,12
204021067,Wangaratta Region,1009.2727272727273,11
204031068,Beechworth,1062.2,5
204031069,Bright - Mount Beauty,1044.7777777777778,9
204031070,Chiltern - Indigo Valley,984.0,4
204031071,Myrtleford,1016.6666666666666,3
204031072,Towong,981.4,10
204031073,West Wodonga,983.5,4
204031075,Yackandandah,1018.5,4
205011076,Drouin,988.3333333333334,9
205011077,Mount Baw Baw Region,981.2857142857143,7
205011078,Trafalgar (Vic.),992.6666666666666,6
205011079,Warragul,1011.2142857142857,14
205021081,Bairnsdale,965.3333333333334,9
205021082,Bruthen - Omeo,967.625,8
205021084,Lakes Entrance,975.4285714285714,7
205021085,Orbost,969.7142857142857,7
205021086,Paynesville,965.0,2
205031087,Foster,985.4285714285714,7
205031088,French Island,964.0,1
205031089,Korumburra,993.0,7
205031090,Leongatha,1012.0,8
205031091,Phillip Island,1046.2,5
205031093,Wonthaggi - Inverloch,996.2,10
205041094,Churchill,973.625,8
205041095,Moe - Newborough,924.0,9
205041096,Morwell,926.6,5
205041098,Yallourn North - Glengarry,963.75,4
205051100,Longford - Loch Sport,951.6666666666666,3
205051101,Maffra,977.5454545454545,11
205051102,Rosedale,955.5,4
205051103,Sale,974.7,10
205051104,Yarram,971.2,5
206011106,Brunswick East,1148.3333333333333,3
206011107,Brunswick West,1144.5,4
206011109,Pascoe Vale South,1038.5,2
206021110,Alphington - Fairfield,1148.5,2
206021112,Thornbury,1081.5714285714287,7
206031113,Ascot Vale,1086.0,4
206031115,Flemington,1023.75,4
206031116,Moonee Ponds,1137.6666666666667,3
206041117,Carlton,1057.0,2
206041118,Docklands,1126.0,1
206041121,Kensington (Vic.),1097.0,3
206041124,Parkville,1121.0,1
206041125,South Yarra - West,1145.6,5
206051128,Albert Park,1148.8,5
206051129,Elwood,1121.5,4
206051130,Port Melbourne,1108.0,2
206051134,St Kilda East,1101.0,2
206061135,Armadale,1177.5,2
206061136,Prahran - Windsor,1108.5,4
206061138,Toorak,1161.75,4
206071139,Abbotsford,1130.5,2
206071140,Carlton North - Princes Hill,1150.6666666666667,3
206071141,Collingwood,967.6666666666666,3
206071142,Fitzroy,1012.0,3
206071143,Fitzroy North,1165.2,5
206071145,Yarra - North,1172.25,4
207011146,Ashburton (Vic.),1154.0,3
207011147,Balwyn,1153.857142857143,7
207011148,Balwyn North,1142.0,6
207011149,Camberwell,1141.4,5
207011150,Glen Iris - East,1177.0,3
207011152,Hawthorn East,1153.4,5
207011154,Kew East,1143.0,3
207011155,Surrey Hills (West) - Canterbury,1161.142857142857,7
207021156,Bulleen,1101.0,3
207021157,Doncaster,1114.5,4
207021159,Templestowe,1120.3333333333333,3
207021160,Templestowe Lower,1100.0,4
207021424,Doncaster East (North),1148.0,1
207021425,Doncaster East (South),1130.6,5
207031161,Blackburn,1131.875,8
207031162,Blackburn South,1094.6666666666667,3
207031163,Box Hill,1126.2,5
207031164,Box Hill North,1088.8,5
207031165,Burwood,1139.75,4
207031166,Burwood East,1082.8,5
207031167,Surrey Hills (East) - Mont Albert,1154.0,3
208011168,Beaumaris,1135.0,4
208011169,Brighton (Vic.),1151.5,8
208011170,Brighton East,1152.0,4
208011171,Cheltenham - Highett (West),1111.0,2
208011172,Hampton,1133.5,4
208011173,Sandringham - Black Rock,1133.6,5
208021174,Bentleigh - McKinnon,1125.25,4
208021176,Carnegie,1130.6666666666667,3
208021177,Caulfield - North,1106.0,8
208021178,Caulfield - South,1131.75,4
208021179,Elsternwick,1100.5,4
208021180,Hughesdale,1111.6666666666667,3
208021181,Murrumbeena,1150.5,2
208021182,Ormond - Glen Huntly,1106.0,4
208021426,Bentleigh East (North),1142.0,2
208021427,Bentleigh East (South),1089.0,5
208031183,Aspendale Gardens - Waterways,1094.0,1
208031185,Carrum - Patterson Lakes,1063.5,2
208031186,Chelsea - Bonbeach,1083.3333333333333,3
208031187,Chelsea Heights,1050.0,1
208031188,Cheltenham - Highett (East),1092.0,5
208031189,Edithvale - Aspendale,1079.6,5
208031190,Mentone,1113.375,8
208031191,Moorabbin - Heatherton,1103.0,5
208031193,Mordialloc - Parkdale,1101.3333333333333,6
208041194,Malvern - Glen Iris,1165.4285714285713,7
208041195,Malvern East,1134.5,4
209011196,Bundoora - East,1044.25,4
209011197,Greensborough,1093.111111111111,9
209011198,Heidelberg - Rosanna,1130.5714285714287,7
209011199,Heidelberg West,1003.0,2
209011200,Ivanhoe,1159.4,5
209011201,Ivanhoe East - Eaglemont,1163.0,1
209011202,Montmorency - Briar Hill,1107.857142857143,7
209011203,Viewbank - Yallambie,1093.25,4
209011204,Watsonia,1050.3333333333333,3
209021205,Kingsbury,1011.6666666666666,3
209021428,Preston - East,1054.2857142857142,7
209021429,Preston - West,1133.75,4
209031209,Eltham,1115.8333333333333,6
209031210,Hurstbridge,1062.0,1
209031211,Kinglake,1005.75,4
209031212,Panton Hill - St Andrews,1064.625,8
209031213,Plenty - Yarrambat,1062.75,4
209031214,Research - North Warrandyte,1112.6666666666667,3
209031215,Wattle Glen - Diamond Creek,1058.6,5
209041217,Bundoora - West,1063.6666666666667,3
209041220,Mill Park - North,1043.0,4
209041221,Mill Park - South,1030.5,2
209041223,Thomastown,985.5,8
209041224,Wallan,995.3333333333334,6
209041225,Whittlesea,1002.5,4
209041431,Epping - East,991.0,3
209041432,Epping - South,1009.0,4
209041433,Epping - West,1046.6666666666667,3
209041435,South Morang (North),1004.0,1
209041436,South Morang (South),1033.3333333333333,3
209041437,Wollert,1028.8333333333333,6
210011226,Airport West,1067.0,2
210011228,Keilor,1082.0,3
210011230,Niddrie - Essendon West,1060.5,4
210011231,Strathmore,1106.75,4
210021232,Gisborne,1060.7142857142858,7
210021233,Macedon,1128.0,4
210021234,Riddells Creek,1040.0,1
210021235,Romsey,1018.6666666666666,6
210031236,Coburg North,1045.0,1
210031237,Fawkner,1012.6666666666666,6
210031440,Hadfield,1073.0,1
